grupo_nivel_0,nodos_text,grupo_nivel_1
12,"Agricultural economics, Agroforestry, Ecology, Economic growth, Economy, Environmental economics, Environmental ethics, Environmental planning, Environmental protection, Environmental resource management, Management science, Marketing, Natural resource economics, Operations management, Risk analysis (engineering)",2
53,"Demography, Development economics, Engineering ethics, Environmental health, Epistemology, Humanities, Knowledge management, Law, Public administration, Public economics, Public relations, Social psychology, Social science, Socioeconomics",2
68,"Actuarial science, Aeronautics, Commerce, Demographic economics, Economic geography, Economic history, Economic policy, Economic system, Engineering management, Finance, Industrial organization, International economics, International trade, Labour economics, Law and economics, Macroeconomics, Management, Market economy, Microeconomics, Neoclassical economics, Political economy, Positive economics, Process management, Regional science, Telecommunications, Transport engineering, Welfare economics",2
31,"Architectural engineering, Automotive engineering, Construction engineering, Database, Forensic engineering, Industrial engineering, Manufacturing engineering, Reliability engineering, Software engineering, Systems engineering",4
115,"Applied mathematics, Calculus, Combinatorics, Control theory, Electronic engineering, Mathematical analysis, Pure mathematics, Theoretical physics, Topology",4
118,"Classical mechanics, Computational science, Engineering drawing, Geometry, Geophysics, Geotechnical engineering, Mechanical engineering, Mechanics, Petroleum engineering, Petrology, Quantum electrodynamics, Seismology, Structural engineering",4
133,"Algorithm, Computer network, Computer vision, Control engineering, Distributed computing, Embedded system, Machine learning, Mathematical optimization, Operating system, Parallel computing, Particle physics, Programming language, Real-time computing, Theoretical computer science",4
180,"Accounting, Business administration, Classical economics, Financial economics, Financial system, Keynesian economics, Monetary economics",4
32,"Arithmetic, Art history, Cognitive science, Communication, Developmental psychology, Genealogy, Gerontology, Medical education, Medical emergency, Nursing, Traditional medicine",5
61,"Biochemistry, Biomedical engineering, Biophysics, Cell biology, Chromatography, Combinatorial chemistry, Medicinal chemistry, Microbiology, Molecular biology, Stereochemistry",5
78,"Anesthesia, Cancer research, Cardiology, Dermatology, Gastroenterology, Gynecology, Medical physics, Nuclear medicine, Oncology, Ophthalmology, Orthodontics, Pharmacology, Radiology, Urology",5
167,"Bioinformatics, Endocrinology, Genetics, Immunology, Internal medicine, Neuroscience, Pathology, Physical medicine and rehabilitation, Physiology, Surgery, Veterinary medicine, Virology",5
206,"Clinical psychology, Emergency medicine, Family medicine, General surgery, Intensive care medicine, Obstetrics, Optometry, Pediatrics, Physical therapy, Psychiatry, Psychotherapist",5
67,"Anatomy, Animal science, Biological system, Biotechnology, Botany, Computational biology, Evolutionary biology, Food science, Horticulture, Toxicology, Zoology",13
89,"Agricultural engineering, Astrobiology, Astronomy, Astrophysics, Atmospheric sciences, Cartography, Climatology, Earth science, Geomorphology, Hydrology, Meteorology, Mining engineering, Oceanography, Paleontology, Physical geography, Remote sensing, Soil science, Water resource management",13
116,"Agronomy, Biochemical engineering, Electrical engineering, Engineering physics, Environmental chemistry, Environmental engineering, Geochemistry, Metallurgy, Process engineering, Pulp and paper industry, Thermodynamics, Waste management",13
144,"Advertising, Aesthetics, Ancient history, Anthropology, Applied psychology, Classics, Cognitive psychology, Computer security, Criminology, Ethnology, Gender studies, Human–computer interaction, Internet privacy, Linguistics, Literature, Mathematics education, Media studies, Multimedia, Pedagogy, Psychoanalysis, Religious studies, Theology, Visual arts, World Wide Web",13
177,"Agricultural science, Archaeology, Artificial intelligence, Civil engineering, Data science, Econometrics, Fishery, Forestry, Information retrieval, Library science, Mathematical economics, Operations research, Simulation, Statistics",13
205,"Analytical chemistry, Atomic physics, Chemical engineering, Chemical physics, Composite material, Condensed matter physics, Crystallography, Inorganic chemistry, Mineralogy, Molecular physics, Nanotechnology, Nuclear chemistry, Nuclear engineering, Nuclear magnetic resonance, Nuclear physics, Optics, Optoelectronics, Organic chemistry, Photochemistry, Physical chemistry, Polymer chemistry, Polymer science",13
