O.NET.SOC.Code,Cluster
11-2021.00,1
13-1022.00,1
13-1041.03,1
17-2011.00,1
17-2072.01,1
19-3093.00,1
27-1023.00,1
27-1026.00,1
29-9093.00,1
33-9021.00,1
35-3023.01,1
37-2021.00,2
37-3011.00,2
37-3012.00,2
39-3031.00,1
39-5092.00,1
41-9021.00,1
43-1011.00,1
43-9111.00,1
47-2011.00,2
47-2053.00,2
47-2082.00,2
47-2131.00,2
47-2151.00,2
47-2152.04,2
47-2161.00,2
47-2171.00,2
47-2181.00,2
47-2221.00,2
47-4041.00,2
47-4061.00,2
49-2011.00,2
49-2091.00,2
49-2098.00,2
49-3051.00,2
49-3092.00,2
49-9011.00,2
49-9052.00,2
49-9061.00,1
49-9092.00,2
51-2011.00,2
51-3011.00,1
51-4021.00,2
51-4031.00,2
51-5113.00,2
51-6011.00,2
51-7011.00,2
51-7042.00,2
51-8091.00,2
51-9011.00,2
51-9012.00,2
51-9051.00,2
51-9082.00,2
51-9083.00,2
51-9191.00,2
51-9195.03,2
51-9195.04,2
51-9198.00,2
53-4011.00,2
53-6021.00,2
53-6051.07,2
53-6061.00,1
53-7021.00,2
